policy,budget,context_tokens,decode_ms,decode_tokens_per_sec,cache_tokens,cache_mib,allocated_above_model_mib,reserved_mib,peak_above_model_mib,speedup_vs_full,cache_saved_pct_vs_full
full,0,512,33.91206651576795,29.488030670284253,525.5,14.369140625,14.65966796875,3166.0,17.9052734375,1.0,0.0
full,0,4096,34.15803849929944,29.275713650322363,4109.5,112.369140625,112.60888671875,3306.0,136.451904296875,1.0,0.0
full,0,16384,43.982726987451315,22.736198242677062,16397.5,448.369140625,448.65966796875,3866.0,544.490234375,1.0,0.0
full,0,65536,134.39604348968714,7.440695236169249,65549.5,1792.369140625,1792.65966796875,7344.0,2176.490234375,1.0,0.0
full,0,120000,234.5210610073991,4.264010218348224,120013.5,3281.619140625,3281.90966796875,7280.0,3985.6611328125,1.0,0.0
sink_window,512,512,34.29887202219106,29.15547949267276,512.0,14.0,14.29052734375,3166.0,17.5634765625,0.9887225029935074,2.5689819219790633
sink_window,512,4096,34.24304650980048,29.203016609679366,512.0,14.0,14.29052734375,3166.0,17.5634765625,0.9975168140557968,87.54106338970678
sink_window,512,16384,34.36438899370842,29.099905037046028,512.0,14.0,14.29052734375,3166.0,17.5634765625,1.2798931785536576,96.87757280073181
sink_window,512,65536,34.40481596044265,29.065704157882912,512.0,14.0,14.29052734375,3166.0,17.5634765625,3.9063156378982447,99.21891089939663
sink_window,512,120000,34.277105005458,29.173994935209368,512.0,14.0,14.29052734375,3166.0,17.5634765625,6.841914873860382,99.57338132793394
sink_window,2048,512,33.92697300296277,29.47509946173267,525.5,14.369140625,14.65966796875,3166.0,17.9052734375,0.9995614760206888,0.0
sink_window,2048,4096,34.68740597600117,28.828909243197145,2048.0,56.0,56.29052734375,3232.0,110.0478515625,0.984738052419081,50.16425355882711
sink_window,2048,16384,34.669229498831555,28.84402253070764,2048.0,56.0,56.29052734375,3232.0,110.0478515625,1.2686387681369642,87.51029120292728
sink_window,2048,65536,34.91913600009866,28.63760258433247,2048.0,56.0,56.29052734375,3232.0,110.0478515625,3.8487804802332137,96.87564359758656
sink_window,2048,120000,34.94590849732049,28.61565530956066,2048.0,56.0,56.29052734375,3232.0,110.0478515625,6.710972498711714,98.29352531173576
sink_window,4096,512,33.99045651894994,29.420031019189366,525.5,14.369140625,14.65966796875,3166.0,17.9052734375,0.9976939914416391,0.0
sink_window,4096,4096,35.26270849397406,28.358583214191924,4096.0,112.0,112.30615234375,3320.0,136.07373046875,0.9686726531388812,0.3285071176542198
sink_window,4096,16384,35.50818547955714,28.162520463999208,4096.0,112.0,112.30615234375,3320.0,136.07373046875,1.2386644487967495,75.02058240585455
sink_window,4096,65536,35.2169570105616,28.395411990372054,4096.0,112.0,112.30615234375,3320.0,136.07373046875,3.8162310226525396,93.75128719517312
sink_window,4096,120000,35.370173514820635,28.27241459088597,4096.0,112.0,112.30615234375,3320.0,136.07373046875,6.630475337331164,96.58705062347153
