projection,rows,cols,mb,predicted_us,measured_us,achieved_gbs,pct_ceiling,aten_op,instances_per_step
q_proj,1536,1536,4.718592,16.187279588336192,20.1595,234.06294798978146,80.29603704623722,linear/addmm,28
k_proj,1536,256,0.786432,2.697879931389365,8.16,96.37647058823529,33.06225406114418,linear/addmm,28
v_proj,1536,256,0.786432,2.697879931389365,7.904,99.49797570850203,34.13309629794237,linear/addmm,28
o_proj,1536,1536,4.718592,16.187279588336192,21.519,219.27561689669596,75.22319619097631,linear/mm,28
gate_proj,1536,8960,27.52512,94.42579759862778,97.838,281.3336331486743,96.51239559131196,linear/mm,28
up_proj,1536,8960,27.52512,94.42579759862778,98.1265,280.50648907277855,96.22864119134769,linear/mm,28
down_proj,8960,1536,27.52512,94.42579759862778,113.4865,242.54091896392958,83.20443189157105,linear/mm,28
lm_head,1536,151936,466.747392,1601.1917392795883,1573.926,296.54976917593336,101.73233933994281,linear/mm,1
