server_config,arrival_pattern,target_rate_rps,repeat,sample_offset_s,running,waiting,kv_usage,preemptions
baseline,poisson,0.5,0,7.104705860838294,1.0,0.0,0.007913495227739542,0.0
baseline,poisson,0.5,0,7.214219219982624,2.0,0.0,0.015706173734444828,0.0
baseline,poisson,0.5,0,7.325554832816124,2.0,0.0,0.015766582094961956,0.0
baseline,poisson,0.5,0,7.435708615928888,2.0,0.0,0.015826990455479084,0.0
baseline,poisson,0.5,0,7.546071832999587,1.0,0.0,0.007853086867222414,0.0
baseline,poisson,0.5,0,7.65810776501894,1.0,0.0,0.007913495227739542,0.0
baseline,poisson,0.5,0,7.7687149327248335,1.0,0.0,0.00797390358825667,0.0
baseline,poisson,0.5,0,7.87685783021152,1.0,0.0,0.00797390358825667,0.0
baseline,poisson,0.5,0,7.9873452093452215,1.0,0.0,0.008034311948773687,0.0
baseline,poisson,0.5,0,8.097856357693672,1.0,0.0,0.008034311948773687,0.0
baseline,poisson,0.5,0,8.20572031289339,1.0,0.0,0.008094720309290815,0.0
baseline,poisson,0.5,0,8.316448360681534,1.0,0.0,0.008155128669807943,0.0
baseline,poisson,0.5,0,8.424734141677618,1.0,0.0,0.008155128669807943,0.0
baseline,poisson,0.5,0,8.534972857683897,1.0,0.0,0.00821553703032496,0.0
baseline,poisson,0.5,0,8.644862251356244,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,8.754585413262248,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,8.864161364734173,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,8.973720334470272,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,9.083241684362292,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,9.19261965341866,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,9.302427597343922,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,9.412019597366452,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,9.51947295293212,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,9.628852991387248,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,9.738430080935359,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,9.84433788433671,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,9.95357902534306,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,10.062794752418995,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,10.172085320577025,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,10.281522570177913,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,10.38907316699624,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,10.49866552837193,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,10.608093988150358,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,10.71768376044929,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,10.827168002724648,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,10.93658697232604,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,11.046030132099986,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,11.15542734414339,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,11.264726612716913,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,11.374273715540767,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,11.483673876151443,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,11.593186516314745,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,11.702663335949183,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,11.812181308865547,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,11.919491251930594,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,12.027043068781495,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,12.134528504684567,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,12.242628464475274,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,12.352087769657373,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,12.45950972288847,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,12.569039937108755,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,12.678601689636707,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,12.788221111521125,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,12.897744124755263,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,13.005221320316195,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,13.11468799225986,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,13.224226403981447,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,13.331636181101203,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,13.439158836379647,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,13.54648489318788,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,13.653802417218685,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,13.763358168303967,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,13.872867342084646,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,13.980296159163117,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,14.089847940951586,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,14.197325276210904,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,14.306904161348939,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,14.41645204462111,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,14.525888158008456,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,14.635435612872243,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,14.742752589285374,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,14.850160514935851,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,14.957538060843945,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,15.0651785004884,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,15.174763424322009,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,15.282256772741675,0.0,0.0,0.0,0.0
