server_config,arrival_pattern,target_rate_rps,repeat,request_id,prompt_tokens,requested_output_tokens,completed_output_tokens,scheduled_offset_s,submitted_offset_s,arrival_lag_ms,ttft_ms,tpot_ms,e2e_ms,http_status,finish_reason,success,slo_pass,error
baseline,poisson,0.5,0,0,512,64,64,0.0,0.0015164520591497421,1.5164520591497421,99.95233826339245,11.003127528561485,793.1493725627661,200,length,True,True,
baseline,poisson,0.5,0,1,2048,256,256,1.9238087724266568,1.9242562521249056,0.4474800080060959,253.4340489655733,13.927803020559105,3805.023819208145,200,length,True,True,
baseline,poisson,0.5,0,2,4096,64,64,3.5983151233629416,3.5997022967785597,1.3871733099222183,573.9491991698742,12.80552346909803,1380.6971777230501,200,length,True,True,
baseline,poisson,0.5,0,3,128,64,64,4.698918585447298,4.700075637549162,1.1570528149604797,39.7773701697588,12.119740957305545,803.3210504800081,200,length,True,True,
baseline,poisson,0.5,0,4,2048,64,64,6.2094930663014125,6.209898496046662,0.4054289311170578,252.31979601085186,15.629940385383273,1237.006040289998,200,length,True,True,
baseline,poisson,0.5,0,5,2048,128,128,6.908867549172055,6.909164620563388,0.2970714122056961,268.7338553369045,11.436164951113266,1721.1268041282892,200,length,True,True,
baseline,poisson,0.5,0,6,2048,32,32,19.604523834872257,19.60515304096043,0.6292052567005157,264.4068878144026,12.274746152181779,644.9240185320377,200,length,True,True,
baseline,poisson,0.5,0,7,128,128,128,19.95675234605123,19.957233648747206,0.4813019186258316,43.20275969803333,11.799441327846894,1541.731808334589,200,length,True,True,
baseline,poisson,0.5,0,8,128,64,64,21.25564520801753,21.25628795288503,0.6427448242902756,38.93338330090046,12.649861829621452,835.8746785670519,200,length,True,True,
baseline,poisson,0.5,0,9,512,64,64,21.376714119097194,21.37781703658402,1.1029168963432312,85.88427491486073,11.545531776925873,813.2527768611908,200,length,True,True,
baseline,poisson,0.5,0,10,2048,32,32,23.213947975071694,23.214577535167336,0.6295610219240189,253.03356908261776,11.903084574207183,622.0291908830404,200,length,True,True,
baseline,poisson,0.5,0,11,128,128,128,23.77543967048277,23.776483288034797,1.0436177253723145,36.12084500491619,11.510104278293182,1497.9040883481503,200,length,True,True,
baseline,poisson,0.5,0,12,512,256,256,25.098238325144695,25.098873995244503,0.6356704980134964,93.62849034368992,11.387870321963348,2997.5354224443436,200,length,True,True,
baseline,poisson,0.5,0,13,512,64,64,27.405778119928485,27.40626359730959,0.4854779690504074,93.6349593102932,11.563571790854136,822.1399821341038,200,length,True,True,
baseline,poisson,0.5,0,14,2048,64,64,30.453839588159813,30.454018019139767,0.1784302294254303,261.99414394795895,11.262964693799852,971.5609196573496,200,length,True,True,
baseline,poisson,0.5,0,15,4096,256,256,31.70843018811419,31.709417548030615,0.9873602539300919,560.234397649765,15.495446368175394,4511.573221534491,200,length,True,True,
baseline,poisson,0.5,0,16,512,64,64,32.1094458524433,32.11056795716286,1.1221040040254593,769.8826231062412,12.94176768334139,1585.2139871567488,200,length,True,True,
baseline,poisson,0.5,0,17,4096,64,64,32.16939209227322,32.16999906115234,0.6069689989089966,724.2467813193798,12.924258079793718,1538.475040346384,200,length,True,True,
baseline,poisson,0.5,0,18,128,32,32,33.70090590144713,33.701967826113105,1.0619238018989563,39.106911048293114,12.082560348414606,413.6662818491459,200,length,True,True,
baseline,poisson,0.5,0,19,2048,128,128,35.65494133367467,35.65561027266085,0.6689392030239105,279.8561956733465,11.479191848729538,1737.713560461998,200,length,True,True,
baseline,poisson,0.5,0,20,2048,64,64,40.596163518664746,40.59685704112053,0.6935223937034607,264.7226955741644,11.669018704976354,999.8708739876747,200,length,True,True,
baseline,poisson,0.5,0,21,128,64,64,41.41214128215593,41.41255382634699,0.41254423558712006,41.797952726483345,11.108243985781593,741.6173238307238,200,length,True,True,
baseline,poisson,0.5,0,22,2048,64,64,44.617783030742245,44.619682336226106,1.8993057310581207,263.09116929769516,11.254051227181677,972.0963966101408,200,length,True,True,
baseline,poisson,0.5,0,23,512,128,128,47.965836429383366,47.96686676517129,1.0303352028131485,82.33006671071053,16.472173400047257,2174.296088516712,200,length,True,True,
baseline,poisson,0.5,0,24,4096,128,128,48.358706771791404,48.358844727277756,0.1379549503326416,573.0937290936708,12.374699658413572,2144.6805857121944,200,length,True,True,
baseline,poisson,0.5,0,25,128,64,64,49.90409205815548,49.9043745547533,0.28249621391296387,39.84429873526096,11.826996647176289,784.9450875073671,200,length,True,True,
baseline,poisson,0.5,0,26,512,32,32,51.266535618236155,51.26709225960076,0.5566421896219254,77.33796536922455,10.965433212057237,417.2663949429989,200,length,True,True,
baseline,poisson,0.5,0,27,2048,256,256,58.61921784657979,58.61964390799403,0.4260614514350891,262.28364929556847,12.274567373827391,3392.2983296215534,200,length,True,True,
baseline,poisson,0.5,0,28,512,256,256,59.645298569728666,59.6464147567749,1.1161863803863525,89.41914886236191,11.940020337408663,3134.1243349015713,200,length,True,True,
baseline,poisson,0.5,0,29,512,32,32,61.512186510060744,61.51290898397565,0.7224734872579575,86.74803003668785,12.154756474398798,463.5454807430506,200,length,True,True,
baseline,poisson,0.5,0,30,128,64,64,65.84677286171564,65.84789791703224,1.1250544339418411,24.72958341240883,10.952852755075408,714.7593069821596,200,length,True,True,
baseline,poisson,0.5,0,31,4096,128,128,67.10905968620416,67.11017502844334,1.115342602133751,560.3738725185394,12.371293789758457,2131.5281838178635,200,length,True,True,
baseline,poisson,0.5,0,32,512,64,64,68.24108376313637,68.24209815636277,1.0143928229808807,86.94980479776859,12.098004302335164,849.1240758448839,200,length,True,True,
baseline,poisson,0.5,0,33,4096,128,128,69.25689594527964,69.25789627619088,1.0003317147493362,562.809556722641,16.568115274385203,2666.960196569562,200,length,True,True,
baseline,poisson,0.5,0,34,128,256,256,69.43634277357438,69.43694030493498,0.5975309759378433,670.8245351910591,14.998720221075358,4495.498191565275,200,length,True,True,
baseline,poisson,0.5,0,35,2048,64,64,69.77494107182916,69.77602740004659,1.0863281786441803,331.64139837026596,16.723174631359086,1385.2014001458883,200,length,True,True,
baseline,poisson,0.5,0,36,2048,64,64,69.8273191149518,69.8282073251903,0.8882097899913788,553.7161640822887,12.566920044639755,1345.4321268945932,200,length,True,True,
baseline,poisson,0.5,0,37,4096,32,32,72.73548757476965,72.73596245236695,0.47487765550613403,581.0859389603138,12.077981546040505,955.5033668875694,200,length,True,True,
baseline,poisson,0.5,0,38,128,64,64,74.9170825889418,74.91819524951279,1.1126603931188583,22.34639599919319,10.938217508650961,711.4540990442038,200,length,True,True,
baseline,poisson,0.5,0,39,512,32,32,75.68669248616091,75.6868535168469,0.16103126108646393,76.7066478729248,10.956919421592067,416.37114994227886,200,length,True,True,
baseline,poisson,0.5,0,40,128,32,32,78.57552214798129,78.57659039273858,1.0682456195354462,24.541884660720825,10.984267198270366,365.0541678071022,200,length,True,True,
baseline,poisson,0.5,0,41,2048,32,32,79.93261427240188,79.93310378864408,0.4895161837339401,255.09395264089108,14.010021282780555,689.4046124070883,200,length,True,True,
baseline,poisson,0.5,0,42,512,128,128,80.01586500754053,80.0165184456855,0.6534382700920105,249.42967481911182,11.18830107445792,1670.3439112752676,200,length,True,True,
baseline,poisson,0.5,0,43,4096,64,64,82.17508126157809,82.17603251710534,0.951254740357399,561.7297068238258,11.57200445849744,1290.7659877091646,200,length,True,True,
baseline,poisson,0.5,0,44,512,128,128,86.25033368154315,86.25120939314365,0.8757114410400391,82.87190645933151,13.848303589881874,1841.6064623743296,200,length,True,True,
baseline,poisson,0.5,0,45,2048,256,256,86.46364278823252,86.46382388472557,0.1810956746339798,283.6866397410631,11.549692096955637,3228.8581244647503,200,length,True,True,
baseline,poisson,0.5,0,46,2048,128,128,90.07512583410909,90.07699560560286,1.8697716295719147,256.7622344940901,11.253697694990578,1685.9818417578936,200,length,True,True,
baseline,poisson,0.5,0,47,128,32,32,94.0,94.00019695237279,0.19695237278938293,25.166433304548264,10.977502011003033,365.4689956456423,200,length,True,True,
baseline,poisson,0.5,1,0,128,32,32,0.0,0.0008587371557950974,0.8587371557950974,23.28827604651451,10.946725405031636,362.6367636024952,200,length,True,True,
baseline,poisson,0.5,1,1,2048,128,128,1.6725622215023908,1.6734424848109484,0.8802637457847595,255.18076680600643,12.32193191865767,1820.0661204755306,200,length,True,True,
baseline,poisson,0.5,1,2,512,64,64,2.2163450944124583,2.216848472133279,0.5033779889345169,84.39628221094608,11.850142053195409,830.9552315622568,200,length,True,True,
baseline,poisson,0.5,1,3,128,64,64,3.25100705250578,3.2511863727122545,0.1793205738067627,40.365688502788544,11.187940215071043,745.2059220522642,200,length,True,True,
baseline,poisson,0.5,1,4,512,64,64,5.026085816140391,5.026484424248338,0.39860792458057404,84.16848070919514,10.961845221500548,774.7647296637297,200,length,True,True,
baseline,poisson,0.5,1,5,512,128,128,7.490770211954344,7.492516724392772,1.7465129494667053,77.39495672285557,10.973168302356727,1470.98733112216,200,length,True,True,
baseline,poisson,0.5,1,6,512,128,128,11.240422659380503,11.240771878510714,0.3492198884487152,84.27512273192406,11.833904355060398,1587.1809758245945,200,length,True,True,
baseline,poisson,0.5,1,7,512,64,64,11.467276791852578,11.467683559283614,0.40676817297935486,88.27280439436436,11.66530606883859,823.1870867311954,200,length,True,True,
baseline,poisson,0.5,1,8,128,32,32,15.7542484408112,15.755072832107544,0.8243918418884277,26.977280154824257,10.972782428706847,367.1335354447365,200,length,True,True,
baseline,poisson,0.5,1,9,128,32,32,16.626751184565965,16.627771127969027,1.019943505525589,26.978587731719017,10.960242320452966,366.746099665761,200,length,True,True,
baseline,poisson,0.5,1,10,2048,32,32,17.706386453443592,17.70723714120686,0.8506886661052704,255.57707622647285,11.272941505716693,605.0382629036903,200,length,True,True,
baseline,poisson,0.5,1,11,512,32,32,18.86519494125046,18.86620414070785,1.0091997683048248,78.15331220626831,10.979087843048957,418.505035340786,200,length,True,True,
baseline,poisson,0.5,1,12,2048,128,128,22.98264860776879,22.98292520456016,0.2765972167253494,261.4319510757923,11.340645691893233,1701.6939539462328,200,length,True,True,
baseline,poisson,0.5,1,13,2048,64,64,26.50816994196886,26.508830286562443,0.6603449583053589,266.7502425611019,26.108485956986744,1911.5848578512669,200,length,True,True,
baseline,poisson,0.5,1,14,2048,32,32,26.69861081508537,26.699059335514903,0.448521226644516,343.0961240082979,31.82359562525826,1329.627588391304,200,length,True,True,
baseline,poisson,0.5,1,15,4096,256,256,26.819527667662147,26.82143389992416,1.9062329083681107,792.6109489053488,12.12374908374805,3884.1669652611017,200,length,True,True,
baseline,poisson,0.5,1,16,128,128,128,27.239637604559242,27.24019263125956,0.5550272762775421,408.6274039000273,12.467384602375857,1991.985248401761,200,length,True,True,
baseline,poisson,0.5,1,17,128,128,128,32.98640002101638,32.98744183219969,1.0418109595775604,24.184497073292732,13.438657483481986,1730.8939974755049,200,length,True,True,
baseline,poisson,0.5,1,18,2048,128,128,33.729092945343076,33.73000208102167,0.9091366082429886,277.42073126137257,12.332490051355888,1843.6469677835703,200,length,True,True,
baseline,poisson,0.5,1,19,512,128,128,35.25837071927602,35.25935174897313,0.9810291230678558,90.64129553735256,13.767449889244057,1839.1074314713478,200,length,True,True,
baseline,poisson,0.5,1,20,128,64,64,35.30601460498109,35.3069799169898,0.965312123298645,73.26439581811428,11.776609523665337,815.1907958090305,200,length,True,True,
baseline,poisson,0.5,1,21,2048,256,256,36.47039086277039,36.47093730792403,0.5464460700750351,280.49373999238014,12.50602200481237,3469.529351219535,200,length,True,True,
baseline,poisson,0.5,1,22,2048,32,32,39.24450349863979,39.24489159695804,0.388098880648613,281.4243920147419,12.260911505549185,661.5126486867666,200,length,True,True,
baseline,poisson,0.5,1,23,2048,128,128,43.14209568960252,43.14316092431545,1.065235584974289,264.12417739629745,12.245709120523273,1819.329235702753,200,length,True,True,
baseline,poisson,0.5,1,24,128,256,256,43.73206932067878,43.733178650960326,1.1093299835920334,42.65817627310753,14.245842265732149,3675.3479540348053,200,length,True,True,
baseline,poisson,0.5,1,25,128,64,64,43.93983590563281,43.94074350222945,0.9075962007045746,43.98040845990181,12.007468217422092,800.4509061574936,200,length,True,True,
baseline,poisson,0.5,1,26,128,128,128,44.845773962707604,44.846428303048015,0.6543397903442383,43.54427382349968,11.680699591561565,1526.9931219518185,200,length,True,True,
baseline,poisson,0.5,1,27,4096,32,32,46.42932844270985,46.42959853634238,0.2700928598642349,575.8837517350912,12.998800544488814,978.8465686142445,200,length,True,True,
baseline,poisson,0.5,1,28,128,64,64,46.82442781788907,46.82521126046777,0.7834434509277344,212.8344401717186,11.621760736618723,945.0053665786982,200,length,True,True,
baseline,poisson,0.5,1,29,2048,64,64,47.8912303289787,47.892398688942194,1.1683590710163116,255.81311993300915,11.327633634209633,969.454038888216,200,length,True,True,
baseline,poisson,0.5,1,30,512,64,64,49.71289201244798,49.71341639943421,0.5243867635726929,81.8073321133852,13.877185416363535,956.0700133442879,200,length,True,True,
baseline,poisson,0.5,1,31,512,128,128,49.7534515582526,49.75398852862418,0.5369707942008972,117.13369749486446,11.909860149612577,1629.6859364956617,200,length,True,True,
baseline,poisson,0.5,1,32,512,32,32,50.047389814081086,50.04861735366285,1.2275390326976776,85.33015474677086,11.991641333987635,457.0710361003876,200,length,True,True,
baseline,poisson,0.5,1,33,2048,64,64,57.810439895970156,57.811605194583535,1.1652987450361252,271.7473469674587,14.0970086471902,1159.8588917404413,200,length,True,True,
baseline,poisson,0.5,1,34,512,128,128,58.03889147949031,58.039250653237104,0.35917386412620544,121.62273935973644,12.177527845492513,1668.1687757372856,200,length,True,True,
baseline,poisson,0.5,1,35,512,64,64,58.48926438220412,58.48981070518494,0.5463231354951859,90.50047025084496,11.786697284569817,833.0623991787434,200,length,True,True,
baseline,poisson,0.5,1,36,128,32,32,66.62534472571691,66.62582491710782,0.48019178211688995,26.4580175280571,13.746571396627735,452.60173082351685,200,length,True,True,
baseline,poisson,0.5,1,37,512,256,256,66.74327518132678,66.74369778856635,0.4226081073284149,88.86094018816948,11.058172013829736,2908.694803714752,200,length,True,True,
baseline,poisson,0.5,1,38,4096,64,64,76.47847211783076,76.47889904864132,0.42693130671977997,572.467302903533,12.181070234094348,1339.8747276514769,200,length,True,True,
baseline,poisson,0.5,1,39,128,32,32,76.94559884694044,76.94586001522839,0.2611689269542694,137.45645806193352,12.137705640446756,513.7253329157829,200,length,True,True,
baseline,poisson,0.5,1,40,2048,64,64,79.46934831942339,79.47015155293047,0.8032340556383133,254.08658385276794,12.661823559375037,1051.7814680933952,200,length,True,True,
baseline,poisson,0.5,1,41,512,32,32,79.7773772465402,79.77930372580886,1.9264798611402512,90.15603363513947,11.93082633037721,460.01164987683296,200,length,True,True,
baseline,poisson,0.5,1,42,128,32,32,82.66673336260399,82.66797529906034,1.241937279701233,28.149893507361412,10.900411935102555,366.0626634955406,200,length,True,True,
baseline,poisson,0.5,1,43,128,128,128,85.69632939437743,85.69664248265326,0.3130882978439331,25.096597149968147,12.999760324326088,1676.0661583393812,200,length,True,True,
baseline,poisson,0.5,1,44,2048,128,128,87.07783355595576,87.07806842401624,0.2348683774471283,270.8729077130556,12.14298712984314,1813.0322732031345,200,length,True,True,
baseline,poisson,0.5,1,45,512,64,64,87.40078098720885,87.40109749883413,0.3165118396282196,83.11387524008751,11.925354452123718,834.4112057238817,200,length,True,True,
baseline,poisson,0.5,1,46,512,64,64,90.43416290423528,90.43454526364803,0.3823600709438324,78.99467274546623,11.009510961316881,772.5938633084297,200,length,True,True,
