label,segment_mode,steps,gpu_kernels_per_step,cpu_launches_per_step,graph_launches_per_step,gpu_busy_ms,trace_span_ms,trace_step_period_ms,trace_gap_ms,clean_step_ms,clean_gap_ms,clean_idle_frac,correlation_fallback_frac
hf,annotation,5,1253.2,1253.0,0.0,12.791710742187501,61.177576416015626,61.476783569335936,48.68507282714843,35.1797,22.387989257812496,0.6363894307743527,0.00031887755102040814
vllm-eager,kernel,11,355.8181818181818,355.8181818181818,0.0,13.021236927379261,47.09110582386364,51.54705993652344,38.525823009144176,25.2235,12.20226307262074,0.48376565792299797,0.002836569932358717
vllm-graphonly,kernel,11,384.8181818181818,16.818181818181817,1.0,12.773631858132102,12.817692937677556,12.944841064453126,0.17120920632102354,12.5714,-0.20223185813210165,-0.016086661639284537,0.0028297779712668698
vllm-compile,kernel,11,353.8181818181818,353.8181818181818,0.0,12.89959874378551,46.799273703835226,51.95382214355469,39.05422339976918,22.4059,9.506301256214488,0.4242766974865767,0.0028515025224830006
vllm-graph,kernel,11,382.8181818181818,16.818181818181817,1.0,12.706540860262784,12.748488880504262,12.767721557617188,0.06118069735440379,12.5625,-0.14404086026278407,-0.011465939125395747,0.0028446389496717722
